Myślisz że to dobry pomysł?,Denkst du dass es eine gute Idee ist
Tak zgadzam się z tobą.,Ja ich stimme dir zu
Według mnie to jest bardzo ciekawe rozwiązanie.,Meiner Meinung nach ist das eine interessante Lösung
To fantastyczne!,Fantastisch
Super! Rewelacja!,Super Klasse
Oczywiście masz rację.,Selbstverständlich du hast Recht
Tak zrobimy!,Machen wir es so
Wydaje mi się że to bardzo dobry pomysł.,Ich denke dass es eine sehr gute Idee ist
Bardzo chętnie!,Sehr gern
Niestety się z tobą nie zgadzam.,Leider stimme ich dir nicht zu
Co za bzdura!,Was für ein Quatsch
To nie może być prawda!,Dass kann nicht wahr sein
Nie to niemożliwe!,Nein das ist unmöglich
Naprawdę? To straszne!,Wirklich Furchtbar
Jesteś pewien?,Bist du sicher
A co ty o tym sądzisz?,Und was hältst du davon
A jakie jest twoje zdanie na ten temat?,Und was ist deine Meinung zu diesem Thema
Podoba ci się ten obraz?,Gefällt dir dieses Bild
Tak. (Odpowiedź na pytanie z przeczeniem),Doch
Muszę lecieć.,Ich muss weg
Nie mam pojęcia.,Keine Ahnung
Zapomnij!,Vergiss es
Nigdy w życiu!,Nie im Leben
No właśnie.,Ja eben
Daj spokój.,Lass mal
