Jestem spóźniony.,Ich habe mich verspätet
Bądź na czas!,Sei pünktlich
Postaram się być na czas.,Ich versuche pünktlich zu sein
Spóźnię się. Poczekajcie na mnie.,Ich komme später Wartet auf mich
Nie spóźnię się!,Ich verspäte mich nicht
Będę wcześniej!,Ich komme früher
Wielkanoc,Ostern
Wesołego Alleluja!,Frohes Halleluja
Wigilia,der Heilige Abend
Boże Narodzenie,Weihnachten
Wesołych Świąt!,Frohe Weihnachten
Sylwester,Silvester
Nowy Rok,Neujahr
Szczęśliwego Nowego Roku!,Glückliches neues Jahr
Święto Trzech Króli,die Heiligen Drei Könige
Karnawał,der Fasching
Wielki Piątek,der Karfreitag
Wszystkich Świętych,Allerheiligen
Przesilenie,Sonnenwende
